Process 2 running at 4Hz
[1678248893585015043] | 0,0,1 | 1 | INTERNAL
[1678248893835557885] | 0,0,2 | 0 | RECEIVE
[1678248894085844896] | 0,0,3 | 0 | INTERNAL
[1678248894336489358] | 2,0,4 | 0 | RECEIVE
[1678248894586718540] | 2,0,5 | 0 | INTERNAL
[1678248894837012536] | 2,0,6 | 0 | INTERNAL
[1678248895087288653] | 2,0,7 | 0 | INTERNAL
[1678248895337809145] | 5,0,8 | 0 | RECEIVE
[1678248895588102791] | 5,0,9 | 0 | DOUBLE SEND
[1678248895838362215] | 5,0,10 | 0 | INTERNAL
[1678248896088912669] | 5,0,11 | 0 | INTERNAL
[1678248896339540368] | 5,0,12 | 0 | INTERNAL
[1678248896589783589] | 5,0,13 | 0 | INTERNAL
[1678248896840345986] | 5,0,14 | 0 | INTERNAL
[1678248897091275121] | 5,0,15 | 0 | INTERNAL
[1678248897341821384] | 5,0,16 | 0 | INTERNAL
[1678248897592075639] | 5,0,17 | 0 | INTERNAL
[1678248897842626931] | 5,0,18 | 0 | INTERNAL
[1678248898093188350] | 5,0,19 | 0 | INTERNAL
[1678248898343588644] | 5,0,20 | 0 | INTERNAL
[1678248898593870417] | 15,0,21 | 0 | RECEIVE
[1678248898844140317] | 15,0,22 | 0 | INTERNAL
[1678248899094384934] | 16,0,23 | 0 | RECEIVE
[1678248899344663005] | 16,0,24 | 0 | INTERNAL
[1678248899594976905] | 16,0,25 | 0 | SEND
[1678248899845381738] | 16,0,26 | 0 | INTERNAL
[1678248900095963480] | 19,0,27 | 0 | RECEIVE
[1678248900346267253] | 19,0,28 | 0 | INTERNAL
[1678248900596522835] | 21,0,29 | 0 | RECEIVE
[1678248900846900011] | 21,0,30 | 0 | DOUBLE SEND
[1678248901097532807] | 21,0,31 | 0 | DOUBLE SEND
[1678248901347850269] | 21,0,32 | 0 | INTERNAL
[1678248901598092650] | 21,0,33 | 0 | SEND
[1678248901848320295] | 21,0,34 | 0 | INTERNAL
[1678248902098610658] | 21,0,35 | 0 | INTERNAL
[1678248902348948583] | 21,0,36 | 0 | SEND
[1678248902599153948] | 21,0,37 | 0 | INTERNAL
[1678248902849619473] | 21,0,38 | 0 | INTERNAL
[1678248903099907880] | 28,0,39 | 0 | RECEIVE
[1678248903350708645] | 29,0,40 | 0 | RECEIVE
[1678248903600970373] | 29,0,41 | 0 | INTERNAL
[1678248903851559448] | 29,0,42 | 0 | INTERNAL
[1678248904101826413] | 29,0,43 | 0 | INTERNAL
[1678248904352396002] | 29,0,44 | 0 | SEND
[1678248904602666878] | 29,0,45 | 0 | INTERNAL
[1678248904853223128] | 29,0,46 | 0 | INTERNAL
[1678248905103528087] | 29,0,47 | 0 | INTERNAL
[1678248905353837515] | 29,0,48 | 0 | DOUBLE SEND
[1678248905604093725] | 29,0,49 | 0 | SEND
[1678248905854384017] | 29,0,50 | 0 | INTERNAL
[1678248906105020444] | 29,0,51 | 0 | DOUBLE SEND
[1678248906355351803] | 29,0,52 | 0 | DOUBLE SEND
[1678248906605891849] | 29,0,53 | 0 | DOUBLE SEND
[1678248906856166007] | 29,0,54 | 0 | INTERNAL
[1678248907106692364] | 29,0,55 | 0 | INTERNAL
[1678248907357039576] | 29,0,56 | 0 | INTERNAL
[1678248907607557831] | 29,0,57 | 0 | INTERNAL
[1678248907858079508] | 29,0,58 | 0 | INTERNAL
[1678248908108425184] | 29,0,59 | 0 | INTERNAL
[1678248908359468648] | 29,0,60 | 0 | INTERNAL
[1678248908610084332] | 29,0,61 | 0 | INTERNAL
[1678248908860413385] | 29,0,62 | 0 | INTERNAL
[1678248909110773449] | 29,0,63 | 0 | INTERNAL
[1678248909360956533] | 29,0,64 | 0 | INTERNAL
[1678248909611298438] | 29,0,65 | 0 | INTERNAL
[1678248909861853848] | 29,0,66 | 0 | INTERNAL
[1678248910112140368] | 49,0,67 | 0 | RECEIVE
