Process 0 running at 3Hz
[1678248893585993873] | 1,0,0 | 0 | INTERNAL
[1678248893919209637] | 2,0,0 | 0 | INTERNAL
[1678248894252597839] | 3,0,0 | 0 | DOUBLE SEND
[1678248894585899578] | 4,0,0 | 0 | INTERNAL
[1678248894919226040] | 5,0,0 | 0 | SEND
[1678248895252532667] | 6,0,0 | 0 | DOUBLE SEND
[1678248895585869396] | 7,0,0 | 0 | INTERNAL
[1678248895919450151] | 8,0,8 | 0 | RECEIVE
[1678248896252728702] | 9,0,8 | 0 | INTERNAL
[1678248896586270625] | 10,0,8 | 0 | INTERNAL
[1678248896919835457] | 11,0,8 | 0 | INTERNAL
[1678248897253190483] | 12,0,8 | 0 | SEND
[1678248897586488170] | 13,0,8 | 0 | INTERNAL
[1678248897920137091] | 14,0,8 | 0 | SEND
[1678248898253457755] | 15,0,8 | 0 | INTERNAL
[1678248898586867538] | 16,0,8 | 0 | DOUBLE SEND
[1678248898920135541] | 17,0,8 | 0 | SEND
[1678248899253404383] | 18,0,8 | 0 | INTERNAL
[1678248899586921512] | 19,0,8 | 0 | INTERNAL
[1678248899920543543] | 20,0,8 | 0 | DOUBLE SEND
[1678248900253718936] | 21,0,8 | 0 | INTERNAL
[1678248900587314078] | 22,0,8 | 0 | DOUBLE SEND
[1678248900920573770] | 23,0,29 | 0 | RECEIVE
[1678248901253868662] | 24,0,30 | 0 | RECEIVE
[1678248901587241847] | 25,0,30 | 0 | SEND
[1678248901920508174] | 26,0,30 | 0 | INTERNAL
[1678248902253768704] | 27,0,30 | 0 | INTERNAL
[1678248902587338073] | 28,0,35 | 0 | RECEIVE
[1678248902920649238] | 29,0,35 | 0 | DOUBLE SEND
[1678248903253934492] | 30,0,35 | 0 | DOUBLE SEND
[1678248903587143059] | 31,0,35 | 0 | SEND
[1678248903920857978] | 32,0,35 | 0 | INTERNAL
[1678248904254081212] | 33,0,35 | 0 | INTERNAL
[1678248904587359411] | 34,0,43 | 0 | RECEIVE
[1678248904920700817] | 35,0,43 | 0 | INTERNAL
[1678248905253983416] | 36,0,43 | 0 | INTERNAL
